City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
556,Shangzhi,CN,45.2167,127.9667,63.05,90,0,1.74,clear sky,2021-08-07 20:21:14
557,Guozhen,CN,34.3659,107.359,76.14,62,100,1.23,overcast clouds,2021-08-07 20:21:15
558,Warrnambool,AU,-38.3833,142.4833,40.8,88,6,7.65,clear sky,2021-08-07 20:21:15
559,Batemans Bay,AU,-35.7167,150.1833,47.91,82,99,5.39,overcast clouds,2021-08-07 20:19:18
560,Great Yarmouth,GB,52.6083,1.7305,63.01,83,78,10.31,broken clouds,2021-08-07 20:21:15
561,Granadilla De Abona,ES,28.1188,-16.576,71.89,72,40,14.97,scattered clouds,2021-08-07 20:21:16
562,San Rafael,AR,-34.6177,-68.3301,59.99,32,0,14.81,clear sky,2021-08-07 20:17:54
563,Port Hedland,AU,-20.3167,118.5667,64.45,32,21,9.22,few clouds,2021-08-07 20:21:16
564,Churapcha,RU,62.0025,132.4325,54.18,59,5,11.41,clear sky,2021-08-07 20:21:17
565,Kavaratti,IN,10.5669,72.642,81.46,79,100,20.65,overcast clouds,2021-08-07 20:21:17
566,Xiaoyi,CN,34.6178,109.703,75.63,46,99,3.31,light rain,2021-08-07 20:21:17
567,Isabela,PH,6.7085,121.9711,79.3,85,100,5.77,heavy intensity rain,2021-08-07 20:21:17
568,Blyznyuky,UA,48.8578,36.5551,75.54,58,100,4.5,light rain,2021-08-07 20:21:18
569,Santa Rosalia,MX,27.3167,-112.2833,88.97,48,38,6.96,scattered clouds,2021-08-07 20:21:18
570,Flin Flon,CA,54.7682,-101.865,71.44,68,90,17.27,smoke,2021-08-07 20:21:18
571,Port Hawkesbury,CA,45.6169,-61.3485,81.01,75,1,4.0,clear sky,2021-08-07 20:21:19
572,Skibbereen,IE,51.55,-9.2667,58.8,83,36,20.74,scattered clouds,2021-08-07 20:21:19
573,Sola,VU,-13.8833,167.55,78.35,77,89,20.67,overcast clouds,2021-08-07 20:21:19
574,Cervo,ES,43.6702,-7.4101,63.97,78,4,10.25,clear sky,2021-08-07 20:21:20
575,Shahreza,IR,32.0339,51.8794,78.55,28,89,3.36,overcast clouds,2021-08-07 20:21:20
576,Kristiansund,NO,63.1115,7.732,68.65,37,0,8.05,clear sky,2021-08-07 20:21:20
577,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,89.4,62,40,3.44,scattered clouds,2021-08-07 20:21:21
578,Hede,CN,33.7681,120.2517,72.14,90,0,4.72,clear sky,2021-08-07 20:21:21
579,Khovu-Aksy,RU,51.1333,93.6,48.09,91,99,2.68,light rain,2021-08-07 20:21:21
580,Curanilahue,CL,-37.4667,-73.35,52.99,51,24,8.77,few clouds,2021-08-07 20:21:22
581,Krasni Okny,UA,47.5404,29.46,63.99,68,0,5.91,clear sky,2021-08-07 20:21:22
582,Impfondo,CG,1.6381,18.0667,69.98,97,100,1.48,light rain,2021-08-07 20:21:22
583,Kargil,IN,34.5667,76.1,57.9,55,27,7.83,scattered clouds,2021-08-07 20:21:23
584,Belaya Gora,RU,68.5333,146.4167,53.78,73,24,2.68,few clouds,2021-08-07 20:21:23
585,Bunia,CD,1.5667,30.25,62.65,94,45,3.62,moderate rain,2021-08-07 20:21:23
586,Port-Gentil,GA,-0.7193,8.7815,75.16,94,90,8.05,light rain,2021-08-07 20:21:24
587,Grand Gaube,MU,-20.0064,57.6608,70.38,74,33,3.0,light rain,2021-08-07 20:21:24
588,Ivanteyevka,RU,55.9711,37.9208,73.74,78,100,4.0,overcast clouds,2021-08-07 20:21:24
589,Zempoala,MX,19.45,-96.4167,89.91,57,100,9.08,overcast clouds,2021-08-07 20:21:25
